,Unnamed: 0,support_reply,customer_text,lang,is_non_english,customer_length,support_length,is_generic,pair,is_duplicate,has_contraction
133869,133869,Hi. This is not the eerience we would like our customer to have. Please message the financial center location. Thank You! az,Two tellers...two Fing tellers...first of the month and they only have two tellers working...F you ...,en,False,102,124.0,False,Two tellers...two Fing tellers...first of the month and they only have two tellers working...F you ... ||| Hi. This is not the eerience we would like our customer to have. Please message the financial center location. Thank You! az,False,False
809462,809462,"Morning, our Customer Resolution team will respond within 20 day of the complaint being logged. Have you received at VT reference?","do you actually respond to complaints made on your website? Made one on the 5th of Nov, only received acknowledgement and nothing more. Not impressed",en,False,149,130.0,False,"do you actually respond to complaints made on your website? Made one on the 5th of Nov, only received acknowledgement and nothing more. Not impressed ||| Morning, our Customer Resolution team will respond within 20 day of the complaint being logged. Have you received at VT reference?",False,False
552718,552718,Thanks for reaching out to us for support. We would love to help you. Please message us so that we can troubleshoot together.,"I️ updated my phone, but my text/characters are still fucked up. what’s up?",en,False,75,125.0,False,"I️ updated my phone, but my text/characters are still fucked up. what’s up? ||| Thanks for reaching out to us for support. We would love to help you. Please message us so that we can troubleshoot together.",False,False
674224,674224,"I am sorry for the frustration! Prime TwoDay Shipping refers to business days in transit once shipped, and does not include any processing time. we will always show the most accurate delivery date during checkout and in your confirmation email.",Yeah it’s not eected to be here tomorrow or Wednesday. what’s the point in paying from prime if the shipping isn’t guaranteed 2 days? I need these by Saturday!,en,False,159,244.0,False,"Yeah it’s not eected to be here tomorrow or Wednesday. what’s the point in paying from prime if the shipping isn’t guaranteed 2 days? I need these by Saturday! ||| I am sorry for the frustration! Prime TwoDay Shipping refers to business days in transit once shipped, and does not include any processing time. we will always show the most accurate delivery date during checkout and in your confirmation email.",False,False
36137,36137,"we are very sorry you have been waiting for a refund of your seating charge for so long. Can you please message us your booking reference, full name and email address so we can look into this for you? Charlotte",I am still waiting for part of my seat refund from Aug! Been assured it is being paid x5 timesgetting fed up of ringing!,en,False,120,210.0,False,"I am still waiting for part of my seat refund from Aug! Been assured it is being paid x5 timesgetting fed up of ringing! ||| we are very sorry you have been waiting for a refund of your seating charge for so long. Can you please message us your booking reference, full name and email address so we can look into this for you? Charlotte",False,False
630792,630792,"Our support team will check and help you out in delivering the package to you. If the issue is still not resolved, please get back to us so that we can assist you further.",How will it help...???,en,False,22,171.0,False,"How will it help...??? ||| Our support team will check and help you out in delivering the package to you. If the issue is still not resolved, please get back to us so that we can assist you further.",False,False
502360,502360,"Hello, I do apologize for the internet issues. Could you please message us an account number or telephone number? So we can assist you.",Me trying to be a diligent worker and livestream,en,False,48,135.0,False,"Me trying to be a diligent worker and livestream ||| Hello, I do apologize for the internet issues. Could you please message us an account number or telephone number? So we can assist you.",False,False
821144,821144,"Hi, please can you message your full name, email and postal address and we can take a look at this for you? Thanks!",no record of my orders on your website. A general problem?,en,False,58,115.0,False,"no record of my orders on your website. A general problem? ||| Hi, please can you message your full name, email and postal address and we can take a look at this for you? Thanks!",False,False
135054,135054,"If there is something that we can do to assist, click the link to message your tracking number, phone number, and details. J..",where the fuck are my packages duke,en,False,35,126.0,False,"where the fuck are my packages duke ||| If there is something that we can do to assist, click the link to message your tracking number, phone number, and details. J..",False,False
182671,182671,Hey there! I would not have any info on any potential sales. You will need to stay tuned to the Steam store.,Is WW2 going to be on sale on the autumn steam sales?,en,False,53,108.0,False,Is WW2 going to be on sale on the autumn steam sales? ||| Hey there! I would not have any info on any potential sales. You will need to stay tuned to the Steam store.,False,False
56789,56789,"we would like to help if possible. Without sharing any account or personal details, will you tell us more bout what is going on?","is going to hate me, cancel my Prime account and ask me to take my business elsewhere. All I can say is I am sorry.",en,False,115,128.0,False,"is going to hate me, cancel my Prime account and ask me to take my business elsewhere. All I can say is I am sorry. ||| we would like to help if possible. Without sharing any account or personal details, will you tell us more bout what is going on?",False,False
140271,140271,"I am sorry, can you please let us know if we have missed the estimated delivery date? Please do not provide your order details, as we consider it to be personal information. Our Twitter page is public.​","Regarding my shipment with tracking Z46364094, I could see that delivery is attempted but the product is not delivered. My mobile number is currently inactive. Could you please ask the delivery agent to call me 914448563300 if he does not know the address.",en,False,256,202.0,False,"Regarding my shipment with tracking Z46364094, I could see that delivery is attempted but the product is not delivered. My mobile number is currently inactive. Could you please ask the delivery agent to call me 914448563300 if he does not know the address. ||| I am sorry, can you please let us know if we have missed the estimated delivery date? Please do not provide your order details, as we consider it to be personal information. Our Twitter page is public.​",False,False
661608,661608,"The decision to close a Target store is not made lightly. In most cases, a store is closed as a result of seeing several years of decreasing profitability. We understand how your favorite store closing can be an inconvenience, and apologize to everyone the closings impacted.",Still so pissed they closed in Canada,en,False,37,275.0,False,"Still so pissed they closed in Canada ||| The decision to close a Target store is not made lightly. In most cases, a store is closed as a result of seeing several years of decreasing profitability. We understand how your favorite store closing can be an inconvenience, and apologize to everyone the closings impacted.",False,False
738250,738250,Sorry for the inconvenience. Please tell me the exact locations so that I can inform our support team.,your pinpads were out at TWO locations when i needed a temporary debit card TODAY,en,False,81,102.0,False,your pinpads were out at TWO locations when i needed a temporary debit card TODAY ||| Sorry for the inconvenience. Please tell me the exact locations so that I can inform our support team.,False,False
663357,663357,"Rachel, we are sorry no one was there to greet you. Can you please message the store details and your contact info? Thanks.",Been standing here for 10 minutes and nobody is here?? where are all the employees?,en,False,83,123.0,False,"Been standing here for 10 minutes and nobody is here?? where are all the employees? ||| Rachel, we are sorry no one was there to greet you. Can you please message the store details and your contact info? Thanks.",False,False
516786,516786,"Hey there, could you tell us more about the issue you are eeriencing? Feel free to message us more details, so as to work on that together, thx!",need some help. Got invited to a team folder but cannot see anything in it.,en,False,75,144.0,False,"need some help. Got invited to a team folder but cannot see anything in it. ||| Hey there, could you tell us more about the issue you are eeriencing? Feel free to message us more details, so as to work on that together, thx!",False,False
739536,739536,Hi there. we are actually separate from the enforcement team amp could not provide info on their actions. Recommend,Just wondering if you guys are going to fix your abusive report system? The one you claim cannot be abused yet is?,en,False,114,115.0,False,Just wondering if you guys are going to fix your abusive report system? The one you claim cannot be abused yet is? ||| Hi there. we are actually separate from the enforcement team amp could not provide info on their actions. Recommend,False,False
522792,522792,If so could you message the details printed across the bottom please? If not just let me know the time of the visit. Regards Ross,Martlesham still giving old £1 coins as change. My 91 year old grandma did not notice until she was home,en,False,104,129.0,False,Martlesham still giving old £1 coins as change. My 91 year old grandma did not notice until she was home ||| If so could you message the details printed across the bottom please? If not just let me know the time of the visit. Regards Ross,False,False
63827,63827,"Sorry to hear of the upload speed issues. Please send me a message with your name, phone number, and address for assistance.","Hey , difficult to stream when I am getting 10Kbps upload speeds. Constant problem for weeks now. Pay too much for this.",en,False,120,124.0,False,"Hey , difficult to stream when I am getting 10Kbps upload speeds. Constant problem for weeks now. Pay too much for this. ||| Sorry to hear of the upload speed issues. Please send me a message with your name, phone number, and address for assistance.",False,False
675835,675835,Hi Amit. We apologise for the uncomfortable conditions on the ground while waiting for your flight to takeoff. It must have been upsetting when you had to pay for water. We will feed this back to our Customer Eerience team.,We were kept waiting for 45 minutes after boarding was completed for unknown reasons. Poor ventilation meant it was hot inside. Yet we were eected to pay for water. BA720,en,False,170,223.0,False,We were kept waiting for 45 minutes after boarding was completed for unknown reasons. Poor ventilation meant it was hot inside. Yet we were eected to pay for water. BA720 ||| Hi Amit. We apologise for the uncomfortable conditions on the ground while waiting for your flight to takeoff. It must have been upsetting when you had to pay for water. We will feed this back to our Customer Eerience team.,False,False
